Address       True          Mine
100930 10c5dc3f10347ea8d3e5a1e02e20ca88,    1000003f10347e0002e200000
100940 adb3be9dda07f23a9faf9749681924,    07003a00000049681924
100950 e15b76a62c261adfab68c35cb5f781a4,    5b76002c261a0068005c0
100960 adb3be9dda07f23a9faf9749681924,    07003a00000049681924
100970 e15b76a62c261adfab68c35cb5f781a4,    5b76002c261a0068005c0
100980 d823310db1c929c254760cdcf380d344,    23310d290054760c0044
100990 5d50b487bfe8e95173a1c1499ac209d0,    5d5000005173000049900
1009a0 d823310db1c929c254760cdcf380d344,    23310d290054760c0044
1009b0 5d50b487bfe8e95173a1c1499ac209d0,    5d5000005173000049900
1009c0 8e05525629338e9394d12f3f995cc8d2,    55256293300002f3f5c0000
1009d0 160858d3fbc6e3aa4a5cdfbcbb14202,    16085800040000004202
1009e0 8e05525629338e9394d12f3f995cc8d2,    55256293300002f3f5c0000
1009f0 160858d3fbc6e3aa4a5cdfbcbb14202,    16085800040000004202
100a00 fcec432db28a81ef7c49e35a7fa4a9f9,    432d07c49005a7f000000
100a10 2b8d1c5661f26e8d44635c9e8df5904,    2b001c5661006e0044635005904
100a20 fcec432db28a81ef7c49e35a7fa4a9f9,    432d07c49005a7f000000
100a30 2b8d1c5661f26e8d44635c9e8df5904,    2b001c5661006e0044635005904
100a40 927249914216ff7133440b61e555539c,    7249004216007133440b61555300
100a50 a3dde61820efdea3214228099301a1,    a3d0061e0000321422009000100
100a60 927249914216ff7133440b61e555539c,    7249004216007133440b61555300
100a70 a3dde61820efdea3214228099301a1,    a3d0061e0000321422009000100
100a80 601999a3ff251b4fbfc029883f7c663a,    60190000251b4f29003f7c663a
100a90 d21879eec3b30606b2a4cc8ca98a7617,    18790060607617
100aa0 601999a3ff251b4fbfc029883f7c663a,    60190000251b4f29003f7c663a
100ab0 d21879eec3b30606b2a4cc8ca98a7617,    18790060607617
100ac0 846975a7f0c29a033ea3da1e7f98d52,    69750033003d0052
100ad0 79afc1fafc634fd86f24fb3f5a4e1bfa,    79000000634f006f24003f5a4e1b00
100ae0 846975a7f0c29a033ea3da1e7f98d52,    69750033003d0052
100af0 79afc1fafc634fd86f24fb3f5a4e1bfa,    79000000634f006f24003f5a4e1b00
100b00 1ed3c98adada20134e9ce1833d906048,    1e00000020134e0000003d006048
100b10 98baa85dd91a94734b6b4d0e5be3865,    900000047340000003865
100b20 1ed3c98adada20134e9ce1833d906048,    1e00000020134e0000003d006048
100b30 98baa85dd91a94734b6b4d0e5be3865,    900000047340000003865
100b40 abd6e06c9fcaf9dbf09e602f4d7fba16,    6c0602f4d7f0016
